今,日,も,元,気,に,い,こ,う,１,何,か,困,っ,た,こ,と,あ,っ,た,ら,言,っ,て,ね
kyo,u,mo,genn,ki,ni,i,ko,u,1,nani,ka,koma,t,ta,ko,to,a,t,ta,ra,i,t,te,ne
今,日,も,元,気,に,い,こ,う
kyo,u,mo,genn,ki,ni,i,ko,u
今,日,も,元,気,に,い,こ,う,何,か,困,っ,た
kyo,u,mo,genn,ki,ni,i,ko,u,nani,ka,koma,t,ta
今,日,も,元,気,に,い,こ,う,何,か,困,っ,た,こ,と,あ,っ,た,ら,言,っ,て,ね
kyo,u,mo,genn,ki,ni,i,ko,u,nani,ka,koma,t,ta,ko,to,a,t,ta,ra,i,t,te,ne
今,日,も,元,気,に,い,こ,う,何,か,困,っ,た,こ,と,あ,っ,た,ら,言,っ,て,ね
kyo,u,mo,genn,ki,ni,i,ko,u,nani,ka,koma,t,ta,ko,to,a,t,ta,ra,i,t,te,ne
今,日,も,元,気,に,い,こ,う,何,か,困,っ,た,こ,と,あ,っ,た,ら,言,っ,て,ね
kyo,u,mo,genn,ki,ni,i,ko,u,nani,ka,koma,t,ta,ko,to,a,t,ta,ra,i,t,te,ne
今,日,も,元,気,に,い,こ,う,何,か,困,っ,た,こ,と,あ,っ,た,ら,言,っ,て,ね
kyo,u,mo,genn,ki,ni,i,ko,u,nani,ka,koma,t,ta,ko,to,a,t,ta,ra,i,t,te,ne
今,日,も,元,気,に,い,こ,う,何,か,困,っ,た,こ,と,あ,っ,た,ら,言,っ,て,ね
kyo,u,mo,genn,ki,ni,i,ko,u,nani,ka,koma,t,ta,ko,to,a,t,ta,ra,i,t,te,ne